complex,fragment,attract_hits,autodock_hits
4ak2,1,3,0
4ak2,2,3,1
4ak2,3,3,2
4ak2,4,0,0
3mpk,1,0,0
3mpk,2,2,1
3mpk,3,26,5
3mpk,4,61,9
1fq9,1,0,0
1fq9,2,0,0
1fq9,3,0,3
1fq9,4,0,3
1xmn,1,12,1
1xmn,2,26,4
1xmn,3,41,13
1xmn,4,9,3
2jcq,1,13,6
2jcq,2,22,5
2jcq,3,5,1
2jcq,4,0,0
2jcq,5,0,0
1bfc,1,0,0
1bfc,2,1,0
1bfc,3,9,8
1bfc,4,94,26
1axm,1,2,7
1axm,2,1,8
1axm,3,9,3
1axm,4,8,0
1rid,1,0,0
1rid,2,2,1
1rid,3,4,1
1rid,4,3,2
1rid,5,2,0
1rid,6,0,0
4c4n,1,1,1
4c4n,2,3,3
4c4n,3,0,0
4c4n,4,0,2
3c9e,1,5,0
3c9e,2,2,1
3c9e,3,0,0
3c9e,4,0,2
3ina,1,9,1
3ina,2,6,1
3ina,3,1,0
3ina,4,1,0
3ina,5,2,0
1fqp,1,24,4
1fqp,2,20,3
1fqp,3,22,1
1fqp,4,2,0
